gaul,baku
abis,habis
abiz,habis
adain,adakan
aja,saja
ane,saya
aneh2,aneh-aneh
apk,aplikasi
app,aplikasi
aplikasinya,aplikasi
benerin,perbaiki
bett,sangat
bgt,sangat
biar,agar
bikin,membuat
blm,belum
bnyk,banyak
bs,bisa
checkin,check in
chekin,check in
cmn,cuma
d,di
dah,sudah
dapet,dapat
down,mati
dpt,dapat
dg,dengan
dgn,dengan
dikit,sedikit
diilangin,dihilangkan
diperbaikin,diperbaiki
dipasksa,dipaksa
dlu,dulu
dmn,dimana
doang,saja
dowload,download
dwnlod,download
dr,dari
emang,memang
engga,tidak
eror,error
fiturnya,fitur
ga,tidak
gak,tidak
g,tidak
gk,tidak
gabisa,tidak bisa
gadi,jadi
gaguna,tidak berguna
gajelas,tidak jelas
gatau,tidak tahu
gg,hebat
ggwp,hebat
gimana,bagaimana
hrs,harus
ilang,hilang
inj,ini
jdi,jadi
jg,juga
jgn,jangan
jngn,jangan
k,ke
kak,kakak
kehalam,ke halaman
kelamaan,terlalu lama
klasmen,klasemen
klo,kalau
kalo,kalau
knp,kenapa
ko,kenapa
kok,kenapa
krn,karena
kudu,harus
kyk,seperti
leg,lag
ngeleg,lag
nge-lag,lag
lemot,lambat
loadingnya,loading
loginnya,login
lg,lagi
lgi,lagi
lgsg,langsung
liat,lihat
log in,login
loding,loading
makin,semakin
makasih,terima kasih
mantap,bagus
mantapp,bagus
mantapss,bagus
masukin,masukkan
matkul,mata kuliah
min,admin
msh,masih
mulu,selalu
nemu,menemukan
ngadu,mengadu
ngalamin,mengalami
ngestuk,berhenti
ngikut,mengikut
ngga,tidak
nilainya,nilai
ntah,entah
ntr,nanti
nyaaa,nya
nyari,mencari
ok,oke
okee,oke
pdhl,padahal
pake,pakai
pas,saat
peraktis,praktis
pisan,sekali
pw,password
ramee,ramai
ribet,rumit
sdh,sudah
udh,sudah
udah,sudah
servernya,server
surveynya,survei
sm,sama
spt,seperti
stelah,setelah
suruh,disuruh
sya,saya
tambahin,tambahkan
tambajin,tambahkan
tdk,tidak
temen,teman
thanks,terima kasih
tlg,tolong
tp,tapi
trs,terus
trus,terus
ttp,tetap
uninstal,uninstall
uninstal2,uninstall
unt,untuk
utk,untuk
yg,yang
