reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
3c790860-129b-49d6-96ac-7827a37b549d,Odoo Dev,https://play-lh.googleusercontent.com/a/ACg8ocJF_qVLOxWg3Nc57GUjgMXZbMJA5mbDiQy5t3_0CW7J3AHhsQ=mo,Nice banget tapi perlu improvement,5,0,,2025-11-07 01:54:31,,,
9778c03c-0b79-4f63-bde3-a0e92b26f4ab,Rizky,https://play-lh.googleusercontent.com/a/ACg8ocKHqAKE0ZdU0whA6ur-S-Cj5JwyZShQvvql-9jWi-QartshJA=mo,overall sangat membantu dan ngga makan banyak memori,5,0,,2025-09-08 10:43:15,,,
3301d437-612d-4105-bc6a-a0eef6f6e96c,Farid Munadhil,https://play-lh.googleusercontent.com/a-/ALV-UjWHHDS4JZWXlv8jjIlRquUftqYatNc9ORmE5o-bqJDML_4eDX-O,Lemot,1,0,2.0.1,2025-06-28 17:18:15,,,2.0.1
e9ef3c4b-b1ad-4a36-9669-19f1d7e1154e,Asep Wahyudi,https://play-lh.googleusercontent.com/a/ACg8ocLeUOFKhdXTPM393pegOS2cmyRg1bILNp0mA9nZSd8LJ5RBfQ=mo,"nge leg nyaaa ya ampun, sekelas telkom",1,1,,2025-06-22 06:24:37,,,
a342451e-b79b-4fbe-b8fe-e81fb337e9d4,Paris -,https://play-lh.googleusercontent.com/a-/ALV-UjWIcQXZlLOTzhpuY2tiscqjuy9LA0MaD_ybHLLDfdaWw7E5DJNv,MIN PLEASE INI MAH ADAIN FITUR GANTI PROFIL,4,1,2.0.1,2025-06-13 09:10:29,,,2.0.1
e228ccb2-7d07-4979-961c-5838aa464766,Suparman,https://play-lh.googleusercontent.com/a-/ALV-UjWvPsujiPwF3fAhbaF7VAbwzWi3TZ48J_uGNtZ0InsY38QThD0,best,5,0,,2025-05-06 10:08:35,,,
b83931ab-e28c-4f9c-a184-a63c0d1bc02f,Burhan Baleendah,https://play-lh.googleusercontent.com/a/ACg8ocJIHq24wgEqZ0UUtDzyxrBRPk-eEUyE2gOUhN_hx3p1e8vOFw=mo,"Setiap checkin, kalau sedang konfirmasi krn tdk checkin 3x, saat checkin selalu gak bisa. Kembali diminta konfirmasi. Padahal di petunjuk diminta unt checkin setelah konfirmasi. Jadi saya selalu tidak bisa checkin.",1,2,2.0.1,2025-04-30 09:35:50,,,2.0.1
5a215845-d2df-4877-9d82-aab5ebde2c5e,Yavvi Adi Nurrahman,https://play-lh.googleusercontent.com/a-/ALV-UjUI1_bZB5lV0ObMV767B6rzXgzfQ7PrGyWxVO1Op___4Y3jA24e,cerdas harmoni,5,0,,2025-04-20 22:36:48,,,
15af875f-600f-439b-a32f-35088794a627,яαιhαη αthαllαhツ 被,https://play-lh.googleusercontent.com/a-/ALV-UjWkTYgNyRhNKR1gn4TtiWacbcYB-sEEOygh5YN8q2NuXL1fcbiI,"ntah gimana setelah update ke versi baru gadi gak bisa Absensi Scan QR, ribet jadi harus konfirm trus ke dosen, mau gak mau downgrade ke v1.5.6, tapi sekarang dipasksa harus update dari apknya. tolong perbaiki🙏",1,5,1.5.6,2025-03-20 13:13:27,,,1.5.6
f2f6c89f-85ad-43c4-8c00-9eef7bf808e6,Eris Capricron,https://play-lh.googleusercontent.com/a-/ALV-UjX9p9aVmTK2mzX_MKvzWLE6F7fnCqcp2T4xzmgQHeOVdbsqRyQ,Semenjak di update jadi keren pisan euy,5,0,2.0.1,2025-03-15 21:49:51,,,2.0.1
e1b884eb-f671-45e4-91ed-afee2e6b16f7,Hanif Fadhlurrahman,https://play-lh.googleusercontent.com/a-/ALV-UjU665p-WmKHT-DYa5AbRNpCYhWXAkyOfl3e7WoraN6LwE6PZibh,"Sudah bagus, tapi tolong bikin ui nya menjadi tablet friendly",4,1,,2025-03-13 07:40:02,,,
0cbb7bd7-20db-4e9d-8c18-b12572241138,Hermawan Saputra,https://play-lh.googleusercontent.com/a-/ALV-UjUVbCAC0F01JsvkFivOAGoLlCdPUrxa7DQjfcF6z551973Bz9HR,Ini kok lama ya pas mau buka halaman nilainya,1,14,2.0.1,2025-01-23 09:20:38,"Hai Telutizen, mohon maaf atas ketidaknyamanannya. Kami membutuhkan info detail terkait kendala yang anda alami. Harap menghubungi Service Desk kami ya. Terima Kasih, Salam HEI",2023-07-26 05:59:43,2.0.1
188a859f-a2a7-4d87-bbdc-61e6f721f4b8,Lusva Salem,https://play-lh.googleusercontent.com/a/ACg8ocK1u1QWy3dEZymjugaJeBBK9yyT-4e11twdJpgpVvXJlE23rpE=mo,"mau liat nilai sangat sulit, tolong diperbaikin",2,2,2.0.1,2025-01-23 04:26:27,,,2.0.1
